timestamp,temperature,humidity
2025-08-08T11:00:00+00:00,17.17,66
2025-08-08T13:00:00+00:00,17.79,60
2025-08-08T14:00:00+00:00,15.76,71
2025-08-08T15:00:00+00:00,15.79,70
2025-08-08T16:00:00+00:00,14.42,78
2025-08-08T17:00:00+00:00,13.88,78
2025-08-08T18:00:00+00:00,13.3,79
2025-08-08T19:00:00+00:00,13.46,84
2025-08-08T20:00:00+00:00,12.41,80
2025-08-08T21:00:00+00:00,13.24,85
2025-08-08T22:00:00+00:00,11.91,81
2025-08-09T01:00:00+00:00,12.08,85
2025-08-09T00:00:00+00:00,11.38,84
2025-08-08T23:00:00+00:00,11.68,82
2025-08-09T02:00:00+00:00,11.05,86
2025-08-09T03:00:00+00:00,12.75,85
2025-08-09T04:00:00+00:00,12.68,86
2025-08-09T05:00:00+00:00,13.27,81
2025-08-09T06:00:00+00:00,13.5,80
2025-08-09T07:00:00+00:00,14.03,80
2025-08-09T08:00:00+00:00,14.37,77
2025-08-09T09:00:00+00:00,14.81,78
2025-08-09T10:00:00+00:00,13.71,78
2025-08-09T11:00:00+00:00,13.41,80
2025-08-09T12:00:00+00:00,14.23,74
2025-08-09T13:00:00+00:00,14.16,68
2025-08-09T14:00:00+00:00,13.65,75
2025-08-09T15:00:00+00:00,14.16,71
2025-08-09T16:00:00+00:00,12.63,82
2025-08-09T17:00:00+00:00,13.74,72
2025-08-09T18:00:00+00:00,13.33,75
2025-08-09T19:00:00+00:00,12.47,79
2025-08-09T20:00:00+00:00,12.9,78
2025-08-09T21:00:00+00:00,12.8,85
2025-08-09T22:00:00+00:00,12.38,86
2025-08-10T01:00:00+00:00,11.63,89
2025-08-10T00:00:00+00:00,11.66,89
2025-08-09T23:00:00+00:00,12.66,82
2025-08-10T03:00:00+00:00,12.33,77
2025-08-10T02:00:00+00:00,11.63,90
2025-08-10T04:00:00+00:00,11.46,90
2025-08-10T05:00:00+00:00,11.14,91
2025-08-10T06:00:00+00:00,10.91,90
2025-08-10T07:00:00+00:00,12.03,83
2025-08-10T08:00:00+00:00,14.1,69
2025-08-10T09:00:00+00:00,15.36,61
2025-08-10T10:00:00+00:00,14.89,61
2025-08-10T11:00:00+00:00,15.74,58
2025-08-10T12:00:00+00:00,14.23,53
2025-08-10T13:00:00+00:00,15.66,58
2025-08-10T14:00:00+00:00,14.91,61
2025-08-10T15:00:00+00:00,14.14,64
2025-08-10T16:00:00+00:00,13.25,70
2025-08-10T17:00:00+00:00,12.47,67
2025-08-10T18:00:00+00:00,11.66,70
2025-08-10T19:00:00+00:00,12.06,63
2025-08-10T20:00:00+00:00,11.85,66
2025-08-10T21:00:00+00:00,11.65,66
2025-08-10T22:00:00+00:00,11.55,68
2025-08-11T01:00:00+00:00,10.51,72
2025-08-11T00:00:00+00:00,10.98,75
2025-08-10T23:00:00+00:00,11.19,74
2025-08-11T03:00:00+00:00,10.62,72
2025-08-11T02:00:00+00:00,10.69,71
2025-08-11T04:00:00+00:00,10.21,77
2025-08-11T05:00:00+00:00,10.18,80
2025-08-11T06:00:00+00:00,10.28,79
2025-08-11T07:00:00+00:00,11.76,74
2025-08-11T08:00:00+00:00,13.38,69
2025-08-11T09:00:00+00:00,15.44,58
2025-08-11T10:00:00+00:00,16.59,56
2025-08-11T12:00:00+00:00,17.8,49
2025-08-11T11:00:00+00:00,14.79,57
2025-08-11T13:00:00+00:00,17.52,49
2025-08-11T14:00:00+00:00,14.33,63
2025-08-11T15:00:00+00:00,13.67,67
2025-08-11T16:00:00+00:00,13.78,64
2025-08-11T17:00:00+00:00,12.33,68
2025-08-11T18:00:00+00:00,12.54,64
2025-08-11T19:00:00+00:00,12.08,77
2025-08-11T20:00:00+00:00,10.83,73
2025-08-11T21:00:00+00:00,11.09,74
2025-08-11T22:00:00+00:00,11.73,79
2025-08-12T01:00:00+00:00,11.6,69
2025-08-12T00:00:00+00:00,11.37,79
2025-08-11T23:00:00+00:00,11.56,79
2025-08-12T02:00:00+00:00,11.21,68
2025-08-12T03:00:00+00:00,10.71,69
2025-08-12T04:00:00+00:00,10.83,79
2025-08-12T05:00:00+00:00,9.06,78
2025-08-12T06:00:00+00:00,9.04,80
2025-08-12T07:00:00+00:00,11.98,77
2025-08-12T08:00:00+00:00,13.5,73
2025-08-12T09:00:00+00:00,15.11,68
2025-08-12T10:00:00+00:00,16.85,61
2025-08-12T12:00:00+00:00,14.18,71
2025-08-12T11:00:00+00:00,16.93,63
2025-08-12T13:00:00+00:00,17.14,27
2025-08-12T14:00:00+00:00,17.56,59
2025-08-12T15:00:00+00:00,14.24,65
2025-08-12T16:00:00+00:00,14.69,67
2025-08-12T17:00:00+00:00,13.07,77
2025-08-12T18:00:00+00:00,12.13,74
2025-08-12T19:00:00+00:00,12.58,78
2025-08-12T20:00:00+00:00,12.4,77
2025-08-12T21:00:00+00:00,11.38,81
2025-08-12T22:00:00+00:00,11.87,77
2025-08-13T01:00:00+00:00,11.46,80
2025-08-13T00:00:00+00:00,11.64,81
2025-08-12T23:00:00+00:00,11.92,81
2025-08-13T02:00:00+00:00,9.97,84
2025-08-13T03:00:00+00:00,9.92,81
2025-08-13T04:00:00+00:00,9.89,80
2025-08-13T05:00:00+00:00,10.68,86
2025-08-13T06:00:00+00:00,10.83,85
2025-08-13T07:00:00+00:00,10.74,87
2025-08-13T08:00:00+00:00,12.9,82
2025-08-13T09:00:00+00:00,14.58,73
